sample,model,variable,coef,se,t,p,stars,ci_lo,ci_hi,n,r2,adj_r2
P2_2014_2018,M6_TCI_DAI,fsts_c,0.5743,0.4289,1.339,0.1806,,-0.2663,1.4148,962,0.0504,0.0425
P2_2014_2018,M6_TCI_DAI,fsts_c2,0.9095,2.8472,0.319,0.7494,,-4.671,6.4899,962,0.0504,0.0425
P2_2014_2018,M6_TCI_DAI,fsts_c3,-3.4834,2.9865,-1.166,0.2435,,-9.3367,2.3699,962,0.0504,0.0425
P2_2014_2018,M6_TCI_DAI,tci_z,0.0881,0.0496,1.777,0.0755,*,-0.0091,0.1852,962,0.0504,0.0425
P2_2014_2018,M6_TCI_DAI,dai_z,0.051,0.0513,0.994,0.3203,,-0.0496,0.1517,962,0.0504,0.0425
P2_2014_2018,M6_TCI_DAI,log_emp,-0.1034,0.035,-2.949,0.0032,***,-0.172,-0.0347,962,0.0504,0.0425
P2_2014_2018,M6_TCI_DAI,firm_age,-0.4542,0.1612,-2.818,0.0048,***,-0.7701,-0.1383,962,0.0504,0.0425
P2_2014_2018,M6_TCI_DAI,fdi10,0.1621,0.1557,1.041,0.2979,,-0.1431,0.4672,962,0.0504,0.0425
P2_2014_2018,M7_full,const,21.4549,0.4058,52.871,0.0,***,20.6596,22.2503,962,0.0525,0.0405
P2_2014_2018,M7_full,fsts_c,0.7061,0.4535,1.557,0.1195,,-0.1828,1.595,962,0.0525,0.0405
P2_2014_2018,M7_full,fsts_c2,0.8565,2.9114,0.294,0.7686,,-4.8496,6.5627,962,0.0525,0.0405
P2_2014_2018,M7_full,fsts_c3,-3.7622,3.0496,-1.234,0.2173,,-9.7393,2.2149,962,0.0525,0.0405
P2_2014_2018,M7_full,tci_z,0.0794,0.0882,0.901,0.3678,,-0.0934,0.2522,962,0.0525,0.0405
P2_2014_2018,M7_full,fsts_x_tci,-0.0394,0.3793,-0.104,0.9173,,-0.7828,0.7041,962,0.0525,0.0405
P2_2014_2018,M7_full,fsts2_x_tci,0.1915,0.6565,0.292,0.7705,,-1.0952,1.4782,962,0.0525,0.0405
P2_2014_2018,M7_full,dai_z,-0.0249,0.1277,-0.195,0.8454,,-0.2752,0.2254,962,0.0525,0.0405
P2_2014_2018,M7_full,fsts_x_dai,-0.4883,0.5687,-0.859,0.3905,,-1.6029,0.6262,962,0.0525,0.0405
P2_2014_2018,M7_full,fsts2_x_dai,0.4999,0.9904,0.505,0.6138,,-1.4413,2.4411,962,0.0525,0.0405
P2_2014_2018,M7_full,log_emp,-0.1037,0.0357,-2.909,0.0036,***,-0.1736,-0.0338,962,0.0525,0.0405
P2_2014_2018,M7_full,firm_age,-0.4686,0.1626,-2.882,0.0039,***,-0.7872,-0.1499,962,0.0525,0.0405
P2_2014_2018,M7_full,fdi10,0.1677,0.1561,1.075,0.2826,,-0.1382,0.4736,962,0.0525,0.0405
P3_2019_2025,M0_controls,const,11.571,0.1056,109.56,0.0,***,11.364,11.778,3581,0.8892,0.889
P3_2019_2025,M0_controls,log_emp,0.0578,0.0163,3.544,0.0004,***,0.0259,0.0898,3581,0.8892,0.889
P3_2019_2025,M0_controls,firm_age,-0.3717,0.0598,-6.212,0.0,***,-0.4889,-0.2544,3581,0.8892,0.889
P3_2019_2025,M0_controls,fdi10,0.1994,0.0642,3.107,0.0019,***,0.0736,0.3252,3581,0.8892,0.889
P3_2019_2025,M1_linear,const,11.5686,0.1068,108.279,0.0,***,11.3592,11.778,3581,0.8892,0.889
P3_2019_2025,M1_linear,fsts_c,-0.0134,0.0885,-0.151,0.8801,,-0.1869,0.1602,3581,0.8892,0.889
P3_2019_2025,M1_linear,log_emp,0.0584,0.0167,3.489,0.0005,***,0.0256,0.0912,3581,0.8892,0.889
P3_2019_2025,M1_linear,firm_age,-0.3711,0.0599,-6.192,0.0,***,-0.4886,-0.2537,3581,0.8892,0.889
P3_2019_2025,M1_linear,fdi10,0.2014,0.0652,3.091,0.002,***,0.0737,0.3292,3581,0.8892,0.889
P3_2019_2025,M2_quadratic,const,11.6738,0.1077,108.417,0.0,***,11.4628,11.8848,3581,0.8898,0.8896
P3_2019_2025,M2_quadratic,fsts_c,1.1632,0.2529,4.599,0.0,***,0.6675,1.6589,3581,0.8898,0.8896
P3_2019_2025,M2_quadratic,fsts_c2,-1.8171,0.379,-4.795,0.0,***,-2.5599,-1.0743,3581,0.8898,0.8896
P3_2019_2025,M2_quadratic,log_emp,0.0476,0.0169,2.821,0.0048,***,0.0145,0.0808,3581,0.8898,0.8896
P3_2019_2025,M2_quadratic,firm_age,-0.3592,0.0598,-6.006,0.0,***,-0.4764,-0.242,3581,0.8898,0.8896
P3_2019_2025,M2_quadratic,fdi10,0.2013,0.0643,3.132,0.0017,***,0.0753,0.3273,3581,0.8898,0.8896
P3_2019_2025,M3_cubic,const,11.5681,0.1122,103.143,0.0,***,11.3483,11.788,3581,0.8899,0.8897
P3_2019_2025,M3_cubic,fsts_c,0.5769,0.3206,1.799,0.072,*,-0.0515,1.2053,3581,0.8899,0.8897
P3_2019_2025,M3_cubic,fsts_c2,2.1799,1.5247,1.43,0.1528,,-0.8085,5.1682,3581,0.8899,0.8897
P3_2019_2025,M3_cubic,fsts_c3,-3.7347,1.4315,-2.609,0.0091,***,-6.5404,-0.929,3581,0.8899,0.8897
P3_2019_2025,M3_cubic,log_emp,0.0518,0.0169,3.07,0.0021,***,0.0187,0.0849,3581,0.8899,0.8897
P3_2019_2025,M3_cubic,firm_age,-0.3533,0.0596,-5.924,0.0,***,-0.4702,-0.2364,3581,0.8899,0.8897
P3_2019_2025,M3_cubic,fdi10,0.2092,0.0644,3.249,0.0012,***,0.083,0.3354,3581,0.8899,0.8897
P3_2019_2025,M4_TCI,const,11.6799,0.1116,104.631,0.0,***,11.4611,11.8987,3577,0.8936,0.8933
P3_2019_2025,M4_TCI,fsts_c,0.2348,0.3453,0.68,0.4966,,-0.4421,0.9116,3577,0.8936,0.8933
P3_2019_2025,M4_TCI,fsts_c2,3.4136,1.5204,2.245,0.0248,**,0.4337,6.3934,3577,0.8936,0.8933
P3_2019_2025,M4_TCI,fsts_c3,-4.6011,1.4039,-3.277,0.001,***,-7.3527,-1.8494,3577,0.8936,0.8933
