sample,model,variable,coef,se,t,p,stars,ci_lo,ci_hi,n,r2,adj_r2
VNM_pooled,M3_cubic,fdi10,0.2999,0.0784,3.826,0.0001,***,0.1463,0.4535,2978,0.1352,0.1329
VNM_pooled,M4_TCI,const,20.5545,0.2428,84.655,0.0,***,20.0786,21.0304,2968,0.1499,0.1468
VNM_pooled,M4_TCI,fsts_c,0.3464,0.2259,1.533,0.1252,,-0.0964,0.7891,2968,0.1499,0.1468
VNM_pooled,M4_TCI,fsts_c2,0.655,1.3154,0.498,0.6185,,-1.9233,3.2332,2968,0.1499,0.1468
VNM_pooled,M4_TCI,fsts_c3,-2.6814,1.4729,-1.821,0.0687,*,-5.5682,0.2054,2968,0.1499,0.1468
VNM_pooled,M4_TCI,tci_z,0.1725,0.0413,4.176,0.0,***,0.0915,0.2534,2968,0.1499,0.1468
VNM_pooled,M4_TCI,fsts_x_tci,-0.1764,0.1583,-1.114,0.2653,,-0.4867,0.1339,2968,0.1499,0.1468
VNM_pooled,M4_TCI,fsts2_x_tci,0.1879,0.2718,0.691,0.4894,,-0.3448,0.7205,2968,0.1499,0.1468
VNM_pooled,M4_TCI,log_emp,-0.0851,0.0205,-4.156,0.0,***,-0.1252,-0.045,2968,0.1499,0.1468
VNM_pooled,M4_TCI,firm_age,-0.3849,0.0966,-3.985,0.0001,***,-0.5743,-0.1956,2968,0.1499,0.1468
VNM_pooled,M4_TCI,fdi10,0.2391,0.0775,3.087,0.002,***,0.0873,0.391,2968,0.1499,0.1468
VNM_pooled,M5_DAI,const,20.574,0.2421,84.997,0.0,***,20.0996,21.0484,2977,0.1494,0.1462
VNM_pooled,M5_DAI,fsts_c,0.3964,0.2247,1.764,0.0778,*,-0.0441,0.8368,2977,0.1494,0.1462
VNM_pooled,M5_DAI,fsts_c2,0.4266,1.3156,0.324,0.7457,,-2.1519,3.0052,2977,0.1494,0.1462
VNM_pooled,M5_DAI,fsts_c3,-2.4683,1.4772,-1.671,0.0947,*,-5.3636,0.427,2977,0.1494,0.1462
VNM_pooled,M5_DAI,dai_z,0.1315,0.0513,2.564,0.0103,**,0.031,0.2319,2977,0.1494,0.1462
VNM_pooled,M5_DAI,fsts_x_dai,-0.2902,0.1968,-1.475,0.1402,,-0.6758,0.0954,2977,0.1494,0.1462
VNM_pooled,M5_DAI,fsts2_x_dai,0.3566,0.3446,1.035,0.3008,,-0.3188,1.032,2977,0.1494,0.1462
VNM_pooled,M5_DAI,log_emp,-0.0743,0.0198,-3.755,0.0002,***,-0.113,-0.0355,2977,0.1494,0.1462
VNM_pooled,M5_DAI,firm_age,-0.4102,0.0967,-4.243,0.0,***,-0.5996,-0.2207,2977,0.1494,0.1462
VNM_pooled,M5_DAI,fdi10,0.2985,0.0766,3.896,0.0001,***,0.1484,0.4487,2977,0.1494,0.1462
VNM_pooled,M6_TCI_DAI,const,20.5814,0.2409,85.433,0.0,***,20.1093,21.0536,2967,0.1548,0.152
