country,year,sales,employees,ln_lp,fsts,fsts_sq,foreign_tech,product_innov,rd_spending,quality_cert,website,epayment_pct,epay_supp_pct,ln_empl,firm_age,foreign_dummy
SGP,2023,500000.0,13.0,10.557414019942792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,2.5649492740631104,10.0,0.0
SGP,2023,600000.0,5.0,11.695247021764184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,75.0,1.6094379425048828,9.0,0.0
SGP,2023,500000.0,5.0,11.512925464970229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,1.6094379425048828,29.0,0.0
SGP,2023,1100000.0,16.0,11.138232015528818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,2.7725887298583984,9.0,0.0
SGP,2023,900000.0,20.0,10.714417768752456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,80.0,2.995732307434082,13.0,0.0
SGP,2023,3000000.0,9.0,12.716898269296165,0.0,0.0,0.0,1.0,0.0,0.0,1.0,50.0,70.0,2.1972246170043945,8.0,1.0
SGP,2023,100000.0,8.0,9.433483923290392,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,50.0,2.079441547393799,7.0,0.0
SGP,2023,500000.0,5.0,11.512925464970229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,1.6094379425048828,7.0,0.0
SGP,2023,150000.0,8.0,9.838949031398556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,2.079441547393799,6.0,1.0
SGP,2023,450000.0,6.0,11.225243392518447,0.0,0.0,0.0,1.0,0.0,0.0,1.0,90.0,90.0,1.7917594909667969,5.0,0.0
SGP,2023,80000.0,20.0,8.294049640102028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,50.0,2.995732307434082,4.0,0.0
SGP,2023,400000.0,9.0,10.7019952487539,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,90.0,2.1972246170043945,2.0,0.0
SGP,2023,400000.0,5.0,11.289781913656018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,80.0,1.6094379425048828,2.0,0.0
SGP,2023,500000.0,6.0,11.330603908176274,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,,1.7917594909667969,33.0,0.0
SGP,2023,180000.0,20.0,9.104979856318357,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,70.0,2.995732307434082,2.0,0.0
SGP,2023,30000.0,7.0,8.36304251158898,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,100.0,1.9459102153778076,11.0,0.0
SGP,2023,800000.0,15.0,10.884316805547854,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,50.0,2.70805025100708,57.0,0.0
SGP,2023,91000000.0,298.0,12.62927657797572,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,5.697093486785889,52.0,1.0
SGP,2023,150000000.0,550.0,12.516227573834014,0.2,0.04000000000000001,1.0,1.0,1.0,1.0,1.0,99.0,100.0,6.309918403625488,16.0,1.0
SGP,2023,46000000.0,40.0,13.955272500339433,0.01,0.0001,0.0,0.0,0.0,1.0,1.0,50.0,100.0,3.6888794898986816,51.0,0.0
SGP,2023,2000000.0,37.0,10.897739825879995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,80.0,3.6109180450439453,51.0,0.0
SGP,2023,10000000.0,13.0,13.553146293496782,0.9,0.81,0.0,1.0,1.0,0.0,1.0,80.0,100.0,2.5649492740631104,50.0,0.0
SGP,2023,6000000.0,28.0,12.275065517017126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,100.0,3.332204580307007,50.0,0.0
SGP,2023,10000000.0,500.0,9.903487552536127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,50.0,6.214608192443848,49.0,1.0
