region,country,year,tag,filename,rel_path,size_bytes,size_mb,md5_8,n_obs,n_vars,core_vars
Southeast Asia,Cambodia,2023,fulldata,Cambodia_2023.dta,raw/Cambodia/Cambodia_2023.dta,755067,0.72,e8311a84,519,368,31
Southeast Asia,Cambodia,2024,ISBSfulldata,Cambodia_2024_ISBSfulldata.dta,raw/Cambodia/Cambodia_2024_ISBSfulldata.dta,1022609,0.98,e8669102,1759,192,15
East Asia,China,2012,fullESN2700data,China_2012_fullESN2700data.dta,raw/China/China_2012_fullESN2700data.dta,1920514,1.83,0cbb0a3e,2700,287,34
East Asia,China,2024,fulldata,China_2024.dta,raw/China/China_2024.dta,3633538,3.47,03fccbed,2189,339,30
West Asia,Cyprus,2024,fulldata,Cyprus_2024.dta,raw/Cyprus/Cyprus_2024.dta,340045,0.32,a3e13f45,246,339,30
Pacific,Fiji,2009,full-data,Fiji_2009_full-data.dta,raw/Fiji/Fiji_2009_full-data.dta,166814,0.16,5c61fa79,164,188,31
Pacific,Fiji,2025,full-data,Fiji_2025_full-data.dta,raw/Fiji/Fiji_2025_full-data.dta,314229,0.3,11e731bc,151,336,30
West Asia,Georgia,2013,fulldata,Georgia_2013.dta,raw/Georgia/Georgia_2013.dta,1161579,1.11,0ca28b87,360,387,36
West Asia,Georgia,2019,full_data,Georgia_2019_full_data.dta,raw/Georgia/Georgia_2019_full_data.dta,1225459,1.17,4fa7d9e4,581,437,35
West Asia,Georgia,2023,fulldata,Georgia_2023.dta,raw/Georgia/Georgia_2023.dta,1206575,1.15,1b01bf3f,592,358,30
East Asia,HongKong,2023,fulldata,HongKong_2023.dta,raw/HongKong/HongKong_2023.dta,862270,0.82,55e21047,598,356,31
South Asia,India,2014,fulldata,India_2014.dta,raw/India/India_2014.dta,8422629,8.03,f63c5908,9281,301,35
South Asia,India,2022,ESISfulldata,India_2022_ESISfulldata.dta,raw/India/India_2022_ESISfulldata.dta,4857363,4.63,fbebe690,10672,196,14
South Asia,India,2022,fulldata,India_2022.dta,raw/India/India_2022.dta,16029354,15.29,eea3e89c,9376,331,34
South Asia,India,2025,full-data,India_2025_full-data.dta,raw/India/India_2025_full-data.dta,13743808,13.11,dd460951,10479,339,30
Southeast Asia,Indonesia,2009,fulldata,Indonesia_2009.dta,raw/Indonesia/Indonesia_2009.dta,1585392,1.51,ba47607e,1444,291,33
Southeast Asia,Indonesia,2009-2015,panel,Indonesia_panel_2009-2015.dta,raw/Indonesia/Indonesia_panel_2009-2015.dta,14332518,13.67,1bcb7af3,2764,446,28
Southeast Asia,Indonesia,2015,fulldata,Indonesia_2015.dta,raw/Indonesia/Indonesia_2015.dta,6033024,5.75,ecf24db5,1320,352,36
Southeast Asia,Indonesia,2023,fulldata,Indonesia_2023.dta,raw/Indonesia/Indonesia_2023.dta,7246904,6.91,8bf66ba6,2955,431,31
West Asia,Iraq,2011,fulldata,Iraq_2011.dta,raw/Iraq/Iraq_2011.dta,548468,0.52,43592dad,756,287,28
West Asia,Iraq,2022,fulldata,Iraq_2022.dta,raw/Iraq/Iraq_2022.dta,2445076,2.33,a255e653,1019,509,34
West Asia,Israel,2013,fulldata,Israel_2013.dta,raw/Israel/Israel_2013.dta,993524,0.95,1461299f,483,417,35
West Asia,Israel,2024,fulldata,Israel_2024.dta,raw/Israel/Israel_2024.dta,600168,0.57,d6f4017a,388,339,30
West Asia,Jordan,2013,fulldata,Jordan_2013.dta,raw/Jordan/Jordan_2013.dta,1028459,0.98,34bc12ec,573,416,35
West Asia,Jordan,2019,full_data,Jordan_2019_full_data.dta,raw/Jordan/Jordan_2019_full_data.dta,1053633,1.0,12f7023c,601,437,35
West Asia,Jordan,2024,fulldata,Jordan_2024.dta,raw/Jordan/Jordan_2024.dta,894959,0.85,e325c209,592,339,30
Central Asia,Kazakhstan,2009,full_data,Kazakhstan_2009_full_data.dta,raw/Kazakhstan/Kazakhstan_2009_full_data.dta,880214,0.84,17f547f9,544,282,30
Central Asia,Kazakhstan,2009,fulldata,Kazakhstan_2009.dta,raw/Kazakhstan/Kazakhstan_2009.dta,905362,0.86,eec0b2cb,544,283,30
Central Asia,Kazakhstan,2013,fulldata,Kazakhstan_2013.dta,raw/Kazakhstan/Kazakhstan_2013.dta,1851247,1.77,f029474d,600,389,36
Central Asia,Kazakhstan,2019,fulldata,Kazakhstan_2019.dta,raw/Kazakhstan/Kazakhstan_2019.dta,3332276,3.18,9903d720,1446,437,35
