sample,model,variable,beta,se,p,n,r2
CHN_2024,M1_k30_FSTSsq,firm_age,0.013524809280897953,0.0033690705879485102,5.9596280604507156e-05,1620,0.054781315202751646
CHN_2024,M1_k30_FSTSsq,foreign_dummy,0.19829831138658094,0.1380071662376781,0.15075502948557828,1620,0.054781315202751646
CHN_pooled,M1_overdraft_FSTSsq,const,12.29011536508937,0.06606104612926421,0.0,4419,0.05334433802320193
CHN_pooled,M1_overdraft_FSTSsq,FSTS,1.7368918242594424,0.3206762349221878,6.083105130485214e-08,4419,0.05334433802320193
CHN_pooled,M1_overdraft_FSTSsq,FSTS_sq,-1.7465501915505601,0.3785919491529976,3.963661666522191e-06,4419,0.05334433802320193
CHN_pooled,M1_overdraft_FSTSsq,overdraft_zp,0.005194674166013577,0.021372674435060034,0.8079650096897906,4419,0.05334433802320193
CHN_pooled,M1_overdraft_FSTSsq,FSTSsq_x_overdraft,0.1828374346774305,0.12225235330726357,0.1347647163236453,4419,0.05334433802320193
CHN_pooled,M1_overdraft_FSTSsq,lnemp,0.005057057682778935,0.0167224875391499,0.76233906640075,4419,0.05334433802320193
CHN_pooled,M1_overdraft_FSTSsq,firm_age,0.012189794209310987,0.0022092739345121702,3.437451880808453e-08,4419,0.05334433802320193
CHN_pooled,M1_overdraft_FSTSsq,foreign_dummy,0.16171821045268517,0.07619936399468098,0.03381222281652426,4419,0.05334433802320193
CHN_pooled,M1_overdraft_FSTSsq,wave_2024,0.4957686290576209,0.04117490812637151,2.174949783952436e-33,4419,0.05334433802320193
CHN_pooled,M1_line_credit_FSTSsq,const,12.395596557419212,0.06679688383235166,0.0,4392,0.07295333965979611
CHN_pooled,M1_line_credit_FSTSsq,FSTS,1.5753374675099345,0.314080379691136,5.283678062303535e-07,4392,0.07295333965979611
CHN_pooled,M1_line_credit_FSTSsq,FSTS_sq,-1.5849279547674513,0.37327471331145057,2.1761147028860333e-05,4392,0.07295333965979611
CHN_pooled,M1_line_credit_FSTSsq,line_credit_zp,0.18580295995078427,0.0199214191872335,1.0912234629656004e-20,4392,0.07295333965979611
CHN_pooled,M1_line_credit_FSTSsq,FSTSsq_x_line_credit,-0.14299366013651255,0.11742846089804514,0.2233346843620625,4392,0.07295333965979611
CHN_pooled,M1_line_credit_FSTSsq,lnemp,-0.017010837442552995,0.016702983602480008,0.30847314357515154,4392,0.07295333965979611
CHN_pooled,M1_line_credit_FSTSsq,firm_age,0.011891219089582884,0.00220375243448511,6.81824089319248e-08,4392,0.07295333965979611
CHN_pooled,M1_line_credit_FSTSsq,foreign_dummy,0.1999833222935587,0.07538820627695494,0.007984758233059752,4392,0.07295333965979611
CHN_pooled,M1_line_credit_FSTSsq,wave_2024,0.4920198354566119,0.03882187612193427,8.263657137539344e-37,4392,0.07295333965979611
CHN_pooled,M3_LA_idx_FSTSsq,const,12.350415352899214,0.06675107556536153,0.0,4514,0.06078946964632226
CHN_pooled,M3_LA_idx_FSTSsq,FSTS,1.5952068256163183,0.3178870810619656,5.216992472638292e-07,4514,0.06078946964632226
CHN_pooled,M3_LA_idx_FSTSsq,FSTS_sq,-1.6050353127912795,0.3776068491862773,2.1324995545724137e-05,4514,0.06078946964632226
CHN_pooled,M3_LA_idx_FSTSsq,LA_idx_zp,0.11311299322493122,0.0200220455094119,1.6098779756445424e-08,4514,0.06078946964632226
CHN_pooled,M3_LA_idx_FSTSsq,FSTSsq_x_LA_idx,0.0009506340276555633,0.126528966604747,0.9940054115816284,4514,0.06078946964632226
CHN_pooled,M3_LA_idx_FSTSsq,lnemp,-0.009010444730992287,0.016672385304381487,0.588892767773128,4514,0.06078946964632226
CHN_pooled,M3_LA_idx_FSTSsq,firm_age,0.012268080439389657,0.002154866930797343,1.2468289632518246e-08,4514,0.06078946964632226
CHN_pooled,M3_LA_idx_FSTSsq,foreign_dummy,0.1757937055186171,0.07502938964347163,0.01912948861733277,4514,0.06078946964632226
CHN_pooled,M3_LA_idx_FSTSsq,wave_2024,0.48703719955784025,0.03940310642311918,4.2815093180895353e-35,4514,0.06078946964632226
CHN_pooled,M1_k3a_FSTSsq,const,13.124062576415978,0.11633161431940096,0.0,4439,0.07480918544505877
CHN_pooled,M1_k3a_FSTSsq,FSTS,1.5942613149821794,0.31528633344894536,4.2690752098413296e-07,4439,0.07480918544505877
CHN_pooled,M1_k3a_FSTSsq,FSTS_sq,-2.2659885507380495,0.5003077882411793,5.921050628552894e-06,4439,0.07480918544505877
CHN_pooled,M1_k3a_FSTSsq,k3a,-0.009070237955812315,0.0009663603458483864,6.2334598919217966e-21,4439,0.07480918544505877
