sample,model,term,b,se,p,ci_lo,ci_hi,n,r2
VNMpooled,M6,FirmAge,0.0086,0.0026,0.0011,0.0034,0.0137,2960,0.1612
VNMpooled,M6,ForeignOwned,0.3476,0.0788,0.0,0.1932,0.5021,2960,0.1612
VNMpooled,M7,FSTSc,0.7273,0.2851,0.0107,0.1685,1.2861,2960,0.1693
VNMpooled,M7,FSTSc2,-1.498,0.409,0.0002,-2.2996,-0.6964,2960,0.1693
VNMpooled,M7,TCI_z,0.1687,0.0302,0.0,0.1095,0.2278,2960,0.1693
VNMpooled,M7,DAI_z,0.0632,0.0302,0.0364,0.004,0.1225,2960,0.1693
VNMpooled,M7,lnEmp,-0.0662,0.0219,0.0025,-0.1091,-0.0233,2960,0.1693
VNMpooled,M7,FirmAge,0.0075,0.0026,0.004,0.0024,0.0125,2960,0.1693
VNMpooled,M7,ForeignOwned,0.2721,0.0786,0.0005,0.118,0.4262,2960,0.1693
VNMpooled,M8,FSTSc,0.8198,0.3028,0.0068,0.2263,1.4133,2960,0.1707
VNMpooled,M8,FSTSc2,-1.6121,0.4357,0.0002,-2.466,-0.7582,2960,0.1707
VNMpooled,M8,TCI_z,0.1817,0.0307,0.0,0.1215,0.2419,2960,0.1707
VNMpooled,M8,DAI_z,0.0275,0.0508,0.5878,-0.072,0.127,2960,0.1707
VNMpooled,M8,FSTSc_DAIz,-0.3752,0.2644,0.1559,-0.8934,0.143,2960,0.1707
VNMpooled,M8,FSTSc2_DAIz,0.3106,0.4003,0.4377,-0.4739,1.0952,2960,0.1707
VNMpooled,M8,lnEmp,-0.0678,0.0219,0.002,-0.1108,-0.0249,2960,0.1707
VNMpooled,M8,FirmAge,0.0075,0.0026,0.0035,0.0025,0.0126,2960,0.1707
VNMpooled,M8,ForeignOwned,0.272,0.0784,0.0005,0.1183,0.4257,2960,0.1707
